<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.03.09;16:00:00;1.24000;1.24540;1.23710;1.23750;2200;0;40
2004.03.09;20:00:00;1.23750;1.23930;1.22740;1.23110;1746;0;40
2004.03.10;00:00:00;1.23110;1.23340;1.22970;1.23020;1621;0;40
2004.03.10;04:00:00;1.23050;1.23210;1.22850;1.22900;1426;0;40
2004.03.10;08:00:00;1.22880;1.23080;1.22600;1.22860;1924;0;40
2004.03.10;12:00:00;1.22870;1.23420;1.22300;1.22620;2274;0;40
2004.03.10;16:00:00;1.22630;1.22650;1.21980;1.22210;2165;0;40
2004.03.10;20:00:00;1.22200;1.22580;1.22100;1.22230;1516;0;40
2004.03.11;00:00:00;1.22250;1.22360;1.21830;1.21980;1423;0;40
2004.03.11;04:00:00;1.21980;1.22210;1.21800;1.22120;1590;0;40
2004.03.11;08:00:00;1.22140;1.22210;1.21620;1.22110;2007;0;40
2004.03.11;12:00:00;1.22110;1.23080;1.22050;1.22590;2517;0;40
2004.03.11;16:00:00;1.22600;1.23060;1.22390;1.22850;2084;0;40
2004.03.11;20:00:00;1.22860;1.23890;1.22810;1.23450;1951;0;40
2004.03.12;00:00:00;1.23450;1.23610;1.23090;1.23150;1370;0;40
2004.03.12;04:00:00;1.23140;1.23170;1.22530;1.22810;1779;0;40
2004.03.12;08:00:00;1.22820;1.22890;1.22440;1.22570;1532;0;40
2004.03.12;12:00:00;1.22560;1.22790;1.22080;1.22230;2280;0;40
2004.03.12;16:00:00;1.22190;1.22380;1.21730;1.21910;2283;0;40
2004.03.12;20:00:00;1.21900;1.22380;1.21830;1.22210;1427;0;40
2004.03.15;00:00:00;1.22100;1.22390;1.22000;1.22200;1401;0;40
2004.03.15;04:00:00;1.22200;1.22510;1.22170;1.22410;1582;0;40
2004.03.15;08:00:00;1.22410;1.23190;1.22380;1.22870;1955;0;40
2004.03.15;12:00:00;1.22880;1.23130;1.22360;1.22380;2090;0;40
2004.03.15;16:00:00;1.22380;1.22950;1.22100;1.22510;2087;0;40
2004.03.15;20:00:00;1.22500;1.22790;1.22430;1.22640;1427;0;40
2004.03.16;00:00:00;1.22650;1.22760;1.22410;1.22640;1297;0;40
2004.03.16;04:00:00;1.22650;1.22960;1.22600;1.22860;1351;0;40
2004.03.16;08:00:00;1.22860;1.23680;1.22810;1.23450;2119;0;40
2004.03.16;12:00:00;1.23450;1.23750;1.23220;1.23460;2083;0;40
2004.03.16;16:00:00;1.23460;1.23620;1.22410;1.22770;2130;0;40
2004.03.16;20:00:00;1.22770;1.23060;1.22300;1.22720;1708;0;40
2004.03.17;00:00:00;1.22690;1.22840;1.22400;1.22790;1368;0;40
2004.03.17;04:00:00;1.22800;1.22920;1.22390;1.22690;1440;0;40
2004.03.17;08:00:00;1.22690;1.22790;1.22040;1.22670;1958;0;40
2004.03.17;12:00:00;1.22660;1.22690;1.22000;1.22330;2042;0;40
2004.03.17;16:00:00;1.22320;1.22580;1.21770;1.22470;2047;0;40
2004.03.17;20:00:00;1.22480;1.22630;1.22270;1.22320;1427;0;40
2004.03.18;00:00:00;1.22300;1.22730;1.22210;1.22620;1655;0;40
2004.03.18;04:00:00;1.22620;1.22920;1.22500;1.22750;1674;0;40
2004.03.18;08:00:00;1.22750;1.23030;1.22630;1.22770;1906;0;40
2004.03.18;12:00:00;1.22760;1.23470;1.22420;1.23270;2087;0;40
2004.03.18;16:00:00;1.23280;1.24380;1.23180;1.23860;2484;0;40
2004.03.18;20:00:00;1.23880;1.24020;1.23650;1.23880;1566;0;40
2004.03.19;00:00:00;1.23900;1.24100;1.23760;1.23850;1466;0;40
2004.03.19;04:00:00;1.23860;1.24080;1.23820;1.23900;1347;0;40
2004.03.19;08:00:00;1.23890;1.24020;1.23320;1.23660;2049;0;40
2004.03.19;12:00:00;1.23650;1.23780;1.23260;1.23480;2080;0;40
2004.03.19;16:00:00;1.23490;1.23600;1.22560;1.22800;2184;0;40
2004.03.19;20:00:00;1.22860;1.22970;1.22640;1.22830;1199;0;40
